"client","age","education","emploi","categorie","adresse","revenus","debcred","debcarte","autres","defaut"
1201,49,"Niveau bac",8,12,17,-0.379598600470369,0.272702346957092,-0.366973586180908,-0.0754532523336977,"Non"
1202,34,"Niveau bac",1,12,5,-0.512636413396774,-0.530809074461449,-0.329110143306123,-0.392416620947077,"Non"
1203,26,"Niveau bac",9,12,3,-0.248311285082469,0.877592967575544,0.0768917912498011,0.0683651115928988,"Non"
1204,25,"Niveau bac",8,12,2,-0.442616511856561,-0.147109800188551,-0.508433306178575,-0.177611499021659,"Non"
1205,55,"Bac+5 et plus",11,12,16,0.654945444786284,0.438219680957166,1.10346510722452,0.424917852806518,"Non"
1206,42,"Niveau bac",12,12,16,-0.0820140189244622,3.01577598224923,0.498815793292953,1.05861500988099,"Non"
1207,29,"Bac+2",3,12,10,-0.430363029087024,1.43734249710307,-0.062543614161152,0.0319684058067872,"Oui"
1208,24,"Bac+2",4,12,4,-0.376097605393358,-0.946107112497999,-0.396438664600966,-0.405845050906124,"Non"
1209,40,"Bac+2",20,12,7.69570871261378,0.996292464794824,-0.110996927315807,-0.121183562861653,0.775232605472579,"Non"
1210,33,"Niveau bac",3,12,8,-0.416359048778981,-0.882909584970698,-0.485055404543394,-0.361435996479165,"Non"
1211,37,"Niveau bac",0,12,8,-0.25531327523649,0.919724652593745,0.0940939284602287,0.0660579915868561,"Oui"
1212,35.1479582494049,"Niveau bac",4,12,7,-0.355091634931294,0.208000116393426,-0.241410048974119,-0.12750138414382,"Non"
1213,55,"Bac+3",34,12,16,1.74025391865959,-0.0131912299521269,-0.313610418184525,1.58575486551306,"Non"
1214,27,"Bac+4",1,12,7.69570871261378,-0.545895866628376,-0.785103887607018,-0.456792369757969,-0.400650282621088,"Non"
1215,39,"Niveau bac",8,12,9,-0.167788398311224,-1.48780020558915,-0.540288804929373,-0.492921846042584,"Non"
1216,31,"Niveau bac",1,12,11,-0.614165270630084,1.26580635095754,0.0515967044172819,-0.348347598389565,"Oui"
1217,43,"Niveau bac",11,12,8,-0.272818250621544,-0.673755862916059,-0.388665524575166,-0.283883296809116,"Non"
1218,47,"Bac+2",18,12,3,1.91530367251012,-0.727925172225174,0.674455863415017,0.161808056987278,"Non"
